dimension,coverage,precision,vectors,raw_bytes,pgvalue_bytes_estimate
384,1.0,float32,3000000,4608000000,4632000000
384,1.0,float16,3000000,2304000000,2328000000
384,0.25,float32,750000,1152000000,1158000000
384,0.25,float16,750000,576000000,582000000
384,0.1,float32,300000,460800000,463200000
384,0.1,float16,300000,230400000,232800000
768,1.0,float32,3000000,9216000000,9240000000
768,1.0,float16,3000000,4608000000,4632000000
768,0.25,float32,750000,2304000000,2310000000
768,0.25,float16,750000,1152000000,1158000000
768,0.1,float32,300000,921600000,924000000
768,0.1,float16,300000,460800000,463200000
1536,1.0,float32,3000000,18432000000,18456000000
1536,1.0,float16,3000000,9216000000,9240000000
1536,0.25,float32,750000,4608000000,4614000000
1536,0.25,float16,750000,2304000000,2310000000
1536,0.1,float32,300000,1843200000,1845600000
1536,0.1,float16,300000,921600000,924000000
